ds,y
6/8/2003,29.6875
7/8/2003,31.29166667
8/8/2003,31.37083333
9/8/2003,28.06666667
10/8/2003,25.61666667
11/8/2003,28.92916667
12/8/2003,28.87916667
13/08/2003,25.22916667
14/08/2003,22.67916667
15/08/2003,21.49583333
16/08/2003,20.63333333
17/08/2003,21.6
18/08/2003,21.075
19/08/2003,21.225
20/08/2003,21.3125
21/08/2003,22.77916667
22/08/2003,24.04166667
23/08/2003,25.3375
24/08/2003,21.90833333
25/08/2003,20.68333333
26/08/2003,19.55416667
27/08/2003,19.475
28/08/2003,18.33333333
29/08/2003,20.4125
30/08/2003,20.92083333
31/08/2003,20.05833333
1/9/2003,19.95
2/9/2003,19.34166667
3/9/2003,20.13333333
4/9/2003,19.91666667
5/9/2003,19.35
6/9/2003,19.05833333
7/9/2003,18.55833333
8/9/2003,18.67083333
9/9/2003,19.65416667
10/9/2003,21.05
11/9/2003,24.425
12/9/2003,27.12083333
13/09/2003,27.75833333
14/09/2003,26.32083333
15/09/2003,23.825
16/09/2003,22.73333333
17/09/2003,23.77916667
18/09/2003,24.94166667
19/09/2003,23.27083333
20/09/2003,22.08333333
21/09/2003,20.9
22/09/2003,19.30416667
23/09/2003,19.1125
24/09/2003,19.48333333
25/09/2003,19.37083333
26/09/2003,20.21666667
27/09/2003,20.45833333
28/09/2003,19.60416667
29/09/2003,18.95
30/09/2003,17.75
1/10/2003,16.29583333
2/10/2003,16.2375
3/10/2003,16.67916667
4/10/2003,16.64583333
5/10/2003,17.37083333
6/10/2003,16.225
7/10/2003,16.61666667
8/10/2003,18.25
9/10/2003,19.925
10/10/2003,19.5625
11/10/2003,18.12916667
12/10/2003,17.59583333
13/10/2003,16.37916667
14/10/2003,17.0625
15/10/2003,16.10833333
16/10/2003,15.68333333
17/10/2003,15.85833333
18/10/2003,15.40833333
19/10/2003,15.92916667
20/10/2003,15.2375
21/10/2003,14.92916667
22/10/2003,12.96666667
23/10/2003,11.67083333
24/10/2003,10.64166667
25/10/2003,11.15
26/10/2003,14.45833333
27/10/2003,15.32083333
28/10/2003,14.72916667
29/10/2003,13.94166667
30/10/2003,14.82916667
31/10/2003,13.10833333
1/11/2003,13.02916667
2/11/2003,11.99583333
3/11/2003,13.62916667
4/11/2003,12.93333333
5/11/2003,16.5125
6/11/2003,18.00416667
7/11/2003,17.1875
8/11/2003,14.02083333
9/11/2003,13.40416667
10/11/2003,14.47916667
11/11/2003,13.74166667
12/11/2003,14.8125
13/11/2003,14.12083333
14/11/2003,15.5625
15/11/2003,13.86666667
16/11/2003,12.5875
17/11/2003,11.17916667
18/11/2003,11.56666667
19/11/2003,13.38333333
20/11/2003,12.95833333
21/11/2003,12.90833333
22/11/2003,12.20833333
23/11/2003,9.945833333
24/11/2003,10.35833333
25/11/2003,10.06666667
26/11/2003,12.2125
27/11/2003,11.5125
28/11/2003,12.06666667
29/11/2003,14.35833333
30/11/2003,12.82916667
1/12/2003,8.433333333
2/12/2003,7.033333333
3/12/2003,8.245833333
4/12/2003,7.858333333
5/12/2003,8.8625
6/12/2003,10.57916667
7/12/2003,11.3
8/12/2003,11.08333333
9/12/2003,10.32916667
10/12/2003,9.158333333
11/12/2003,8.904166667
12/12/2003,10.375
13/12/2003,10.55416667
14/12/2003,10.80833333
15/12/2003,11.74166667
16/12/2003,10.42083333
17/12/2003,12.65
18/12/2003,11.9625
19/12/2003,12.02083333
20/12/2003,11.24583333
21/12/2003,11.22083333
22/12/2003,9.2125
23/12/2003,7.508333333
24/12/2003,8.5875
25/12/2003,9.175
26/12/2003,9.025
27/12/2003,11.17916667
28/12/2003,10.30416667
29/12/2003,9.475
30/12/2003,12.46666667
31/12/2003,12.625
1/1/2004,12.09166667
2/1/2004,9.395833333
3/1/2004,9.795833333
4/1/2004,9.983333333
5/1/2004,9.041666667
